Age,Baden-Wuerttemberg_Male,Baden-Wuerttemberg_Female,Baden-Wuerttemberg_Total,Bayern_Male,Bayern_Female,Bayern_Total,Berlin_Male,Berlin_Female,Berlin_Total,Brandenburg_Male,Brandenburg_Female,Brandenburg_Total,Bremen_Male,Bremen_Female,Bremen_Total,Hamburg_Male,Hamburg_Female,Hamburg_Total,Hessen_Male,Hessen_Female,Hessen_Total,Mecklenburg-Vorpommern_Male,Mecklenburg-Vorpommern_Female,Mecklenburg-Vorpommern_Total,Niedersachsen_Male,Niedersachsen_Female,Niedersachsen_Total,Nordrhein-Westfalen_Male,Nordrhein-Westfalen_Female,Nordrhein-Westfalen_Total,Rheinland-Pfalz_Male,Rheinland-Pfalz_Female,Rheinland-Pfalz_Total,Saarland_Male,Saarland_Female,Saarland_Total,Sachsen_Male,Sachsen_Female,Sachsen_Total,Sachsen-Anhalt_Male,Sachsen-Anhalt_Female,Sachsen-Anhalt_Total,Schleswig-Holstein_Male,Schleswig-Holstein_Female,Schleswig-Holstein_Total,Th�ringen_Male,Th�ringen_Female,Th�ringen_Total
10 years,50791,48212,99003,58754,55414,114168,16656,15711,32367,11866,11323,23189,2932,2671,5603,8181,7833,16014,29456,27823,57279,7231,6844,14075,36368,34456,70824,81888,77465,159353,18498,17448,35946,4213,3860,8073,18907,17843,36750,9389,8829,18218,12941,12425,25366,9471,8967,18438
11 years,52452,49406,101858,59548,56534,116082,16907,15972,32879,12403,11510,23913,3012,2908,5920,8326,7924,16250,29703,28522,58225,7434,7207,14641,37749,35518,73267,84357,79421,163778,18841,17689,36530,4090,3971,8061,19008,18233,37241,9436,9124,18560,13671,12846,26517,9663,9215,18878
12 years,51853,49141,100994,58809,55608,114417,16495,15696,32191,11958,11314,23272,3150,2837,5987,8293,7663,15956,29584,27819,57403,7271,7071,14342,37407,35092,72499,83353,78426,161779,18497,17276,35773,4112,3921,8033,18642,17449,36091,9410,8867,18277,13569,12618,26187,9112,8934,18046
13 years,52962,50423,103385,60460,57304,117764,16733,15611,32344,12138,11455,23593,3010,2915,5925,8440,7923,16363,30016,28666,58682,7359,7023,14382,38195,36332,74527,86275,80902,167177,19121,17852,36973,4231,4008,8239,18729,17770,36499,9695,9174,18869,13641,13214,26855,9556,8947,18503
14 years,53063,50754,103817,60267,57171,117438,16280,15068,31348,11842,11151,22993,3192,3015,6207,8320,7637,15957,30310,28244,58554,7053,6759,13812,38605,35980,74585,85789,80707,166496,19080,17751,36831,4190,3916,8106,18199,17192,35391,9365,8796,18161,14004,13092,27096,9381,8695,18076
15 years,52718,49962,102680,59455,55854,115309,15343,14770,30113,11285,10577,21862,3140,2895,6035,8266,7479,15745,29438,27909,57347,6927,6491,13418,38188,35771,73959,84917,79763,164680,18690,17302,35992,4228,3785,8013,17311,16447,33758,9148,8228,17376,13769,12913,26682,8895,8154,17049
16 years,53852,51056,104908,60576,56919,117495,15243,14292,29535,11102,10402,21504,3210,2767,5977,8243,7604,15847,30352,28283,58635,6580,6426,13006,38838,36540,75378,86659,80782,167441,18850,17864,36714,4294,4016,8310,17297,16465,33762,8975,8581,17556,13774,12971,26745,8871,8373,17244
17 years,55257,51609,106866,61439,58842,120281,15295,14439,29734,11334,10462,21796,3198,2901,6099,8183,7690,15873,30800,28740,59540,6988,6592,13580,40057,37968,78025,88368,82895,171263,19545,17992,37537,4401,4049,8450,17507,16633,34140,8995,8417,17412,14370,13473,27843,9237,8573,17810
18 years,56528,52306,108834,63083,59659,122742,14966,14491,29457,11049,9984,21033,3258,3120,6378,8333,7805,16138,30928,28867,59795,6850,6458,13308,40627,38553,79180,89814,83432,173246,19778,18548,38326,4417,4093,8510,17162,16536,33698,8884,8191,17075,14395,13608,28003,8923,8304,17227
19 years,58858,54448,113306,66141,61457,127598,15818,15302,31120,10597,9619,20216,3398,3172,6570,8475,8465,16940,32055,29434,61489,6869,6337,13206,42493,39697,82190,92835,86338,179173,20181,19032,39213,4627,4202,8829,17496,16761,34257,9348,8323,17671,14711,13785,28496,9093,8339,17432
